"","biomass","grazed","nutadd"
"1",214.519235939078,"y","y"
"2",241.449936591469,"y","y"
"3",202.472571696981,"y","y"
"4",170.926356388196,"y","y"
"5",127.302187678093,"y","y"
"6",228.180783428216,"y","y"
"7",232.137546783319,"y","y"
"8",173.342590979388,"y","y"
"9",176.511045516351,"y","y"
"10",185.306375335282,"y","y"
"11",225.224182604841,"y","y"
"12",183.871104586076,"y","y"
"13",220.7873088082,"y","y"
"14",214.996709456468,"y","y"
"15",183.465808229655,"y","y"
"16",229.641671237477,"y","y"
"17",204.656230767887,"y","y"
"18",213.53192617345,"y","y"
"19",169.521273197634,"y","y"
"20",196.337647377021,"y","y"
"21",143.242823235585,"y","n"
"22",161.098958050374,"y","n"
"23",189.69645579357,"y","n"
"24",189.435990732897,"y","n"
"25",190.47779687291,"y","n"
"26",162.454813929144,"y","n"
"27",133.039799091151,"y","n"
"28",130.385158055632,"y","n"
"29",150.779034533325,"y","n"
"30",184.119611051608,"y","n"
"31",147.997494801257,"y","n"
"32",157.471624255289,"y","n"
"33",164.452458109983,"y","n"
"34",184.906533682394,"y","n"
"35",148.54557821549,"y","n"
"36",182.942401224082,"y","n"
"37",179.15971049785,"y","n"
"38",204.555097171473,"y","n"
"39",155.061529364392,"y","n"
"40",179.792705710546,"y","n"
"41",388.364869300643,"n","y"
"42",261.540273520211,"n","y"
"43",343.362661408814,"n","y"
"44",309.920345275611,"n","y"
"45",358.148112770964,"n","y"
"46",388.740881592955,"n","y"
"47",381.028667094682,"n","y"
"48",319.874553717006,"n","y"
"49",296.290539404711,"n","y"
"50",357.333220710286,"n","y"
"51",377.069718717388,"n","y"
"52",355.730694541143,"n","y"
"53",329.612702633186,"n","y"
"54",358.309941223502,"n","y"
"55",346.19687741085,"n","y"
"56",313.170175811921,"n","y"
"57",340.240046804911,"n","y"
"58",361.853493090916,"n","y"
"59",367.855638731358,"n","y"
"60",326.51165643397,"n","y"
"61",240.423479394603,"n","n"
"62",285.504884215911,"n","n"
"63",270.679392519889,"n","n"
"64",259.246857355711,"n","n"
"65",290.551069562412,"n","n"
"66",194.086301468504,"n","n"
"67",173.870708852639,"n","n"
"68",275.037890208328,"n","n"
"69",218.163608254584,"n","n"
"70",271.999507443521,"n","n"
"71",191.568374473517,"n","n"
"72",234.43649891983,"n","n"
"73",212.702505388558,"n","n"
"74",226.825898420009,"n","n"
"75",246.540759258703,"n","n"
"76",242.65301950038,"n","n"
"77",267.059224346277,"n","n"
"78",234.019113768582,"n","n"
"79",232.782763647146,"n","n"
"80",261.209328452074,"n","n"
